videoID,title,lengthSeconds,publishedTime,views,url
Gid0mvK9zwA,Full Backlash 2026 highlights,675,8 hours ago,316806,https://www.youtube.com/watch?v=Gid0mvK9zwA
WVVccTFHld8,Danhausen and Minihausens take over the Backlash 2026 Post-Show,250,9 hours ago,102982,https://www.youtube.com/watch?v=WVVccTFHld8
HS2UBTNf4Oo,Roman Reigns vs. Jacob Fatu | World Heavyweight Title Match: Backlash 2026 highlights,283,9 hours ago,859245,https://www.youtube.com/watch?v=HS2UBTNf4Oo
lGKlKypPrWA,Roman Reigns says Jacob Fatu doesn't belong in WWE: Backlash 2026 exclusive,85,9 hours ago,232047,https://www.youtube.com/watch?v=lGKlKypPrWA
rk-xw09nuqc,Jacob Fatu unleashes unhinged attack on Roman Reigns: Backlash 2026 highlights,186,10 hours ago,132951,https://www.youtube.com/watch?v=rk-xw09nuqc
YiKQ4yJqIns,John Cena announces the John Cena Classic: Backlash 2026 highlights,182,10 hours ago,165984,https://www.youtube.com/watch?v=YiKQ4yJqIns
t-h9JaHkTC8,IYO SKY vs. Asuka: Backlash 2026 highlights,284,10 hours ago,250675,https://www.youtube.com/watch?v=t-h9JaHkTC8
h93qcMQ4Moc,Danhausen & Minihausen vs. The Miz & Kit Wilson: Backlash 2026 highlights,292,11 hours ago,283523,https://www.youtube.com/watch?v=h93qcMQ4Moc
ezr_FsivC4c,MORE Minihausens emerge from the cloning machine: Backlash 2026 highlights,98,11 hours ago,61678,https://www.youtube.com/watch?v=ezr_FsivC4c
oUjLPyPY-b8,Trick Williams vs. Sami Zayn | United States Title Match: Backlash 2026 highlights,185,11 hours ago,132892,https://www.youtube.com/watch?v=oUjLPyPY-b8
j9ea8SQPsTY,Danhausen reveals Minihausen as his tag team partner: Backlash 2026 highlights,172,11 hours ago,85146,https://www.youtube.com/watch?v=j9ea8SQPsTY
Av_uZ7XKQzo,Seth Rollins vs. Bron Breakker: Backlash 2026 highlights,249,12 hours ago,473604,https://www.youtube.com/watch?v=Av_uZ7XKQzo
Tqle3LefFYw,"Top 10 Friday Night SmackDown moments: WWE Top 10, May 8, 2026",622,16 hours ago,115687,https://www.youtube.com/watch?v=Tqle3LefFYw
BBKtkqKaCDc,FCW forged a path to the future of WWE: WWE Backlash Countdown highlights,208,17 hours ago,41354,https://www.youtube.com/watch?v=BBKtkqKaCDc
kSfCrPxwBpc,Danhausen & mystery partner vs. The Miz & Kit Wilson: Backlash 2026 Hype Package,135,19 hours ago,57300,https://www.youtube.com/watch?v=kSfCrPxwBpc
kA1QtvBfjtw,Roman Reigns vs. Jacob Fatu | World Heavyweight Championship Match: Backlash 2026 Hype Package,165,19 hours ago,154334,https://www.youtube.com/watch?v=kA1QtvBfjtw
l9OqSE48GOY,"FULL MATCH: Liv Morgan vs. Rhea Ripley: Raw, May 9, 2022",956,20 hours ago,79947,https://www.youtube.com/watch?v=l9OqSE48GOY
iMzwyVBwPqY,FULL MATCH: Lyra Valkyria vs. Becky Lynch | Women’s Intercontinental Title Match: Backlash 2025,1461,22 hours ago,121716,https://www.youtube.com/watch?v=iMzwyVBwPqY
XqE5njEPgZo,Danhausen curses ESPN Headquarters,291,1 day ago,47791,https://www.youtube.com/watch?v=XqE5njEPgZo
6yl_23s_nSg,"Danhausen takes The Gingerbread Man's outfit: SmackDown exclusive, May 8, 2026",39,1 day ago,190005,https://www.youtube.com/watch?v=6yl_23s_nSg
ycTO7nrfN88,"Full SmackDown highlights: May 8, 2026",888,1 day ago,737535,https://www.youtube.com/watch?v=ycTO7nrfN88
5cdYd8XKi-M,Seth Rollins vs. Bron Breakker: Backlash 2026 Hype Package,139,1 day ago,41219,https://www.youtube.com/watch?v=5cdYd8XKi-M
CfS-mZ2TyJk,"Best of The Gingerbread Man: SmackDown highlights, May 8, 2026",78,1 day ago,103309,https://www.youtube.com/watch?v=CfS-mZ2TyJk
1jM2uZjLuo0,"FULL SEGMENT: The Gingerbread Man rises from the grave to attack Sami Zayn: SmackDown, May 8, 2026",774,1 day ago,314328,https://www.youtube.com/watch?v=1jM2uZjLuo0
CJ7lqTcemBc,"Royce Keys pummels Tama Tonga: SmackDown highlights, May 8, 2026",225,1 day ago,273469,https://www.youtube.com/watch?v=CJ7lqTcemBc
Zsxn9-PPc8Q,"Danhausen plans to clone himself: SmackDown highlights, May 8, 2026",175,1 day ago,314911,https://www.youtube.com/watch?v=Zsxn9-PPc8Q
kHotmA2tlOE,"Jade Cargill, Michin and B-Fab return to wreak havoc: SmackDown highlights, May 8, 2026",205,1 day ago,249135,https://www.youtube.com/watch?v=kHotmA2tlOE
hUP0kB9RdOI,"The Irresistible Forces lay out Paige and Brie Bella: SmackDown highlights, May 8, 2026",198,1 day ago,203318,https://www.youtube.com/watch?v=hUP0kB9RdOI
6Hgfhx8HoK8,"Ricky Saints takes down Matt Cardona: SmackDown highlights, May 8, 2025",191,1 day ago,105676,https://www.youtube.com/watch?v=6Hgfhx8HoK8
amiH8Bmk83Q,"Gunther challenges Cody Rhodes to match at Clash in Italy: SmackDown highlights, May 8, 2026",249,1 day ago,372041,https://www.youtube.com/watch?v=amiH8Bmk83Q
